Date,Home-team,Goals,Away-team
20-04-2024,Chicago Fire,0 - 4,Real Salt Lake
27-04-2024,Chicago Fire,0 - 0,Atlanta United
04-05-2024,Chicago Fire,0 - 1,New England
11-05-2024,Saint Louis City,3 - 1,Chicago Fire
15-05-2024,Chicago Fire,0 - 1,Charlotte
18-05-2024,Chicago Fire,1 - 3,Columbus Crew
24-05-2024,DC United,1 - 1,Chicago Fire
29-05-2024,Chicago Fire,1 - 1,Orlando City SC
01-06-2024,Chicago Fire,2 - 1,LA Galaxy
14-06-2024,Toronto,1 - 4,Chicago Fire
21-06-2024,Orlando City SC,4 - 2,Chicago Fire
29-06-2024,Seattle Sounders FC,2 - 1,Chicago Fire
03-07-2024,Chicago Fire,4 - 3,Philadelphia Union
07-07-2024,SJ Earthquakes,1 - 0,Chicago Fire
13-07-2024,Chicago Fire,0 - 0,New York City
16-07-2024,Cincinnati,0 - 1,Chicago Fire
19-07-2024,Club Internacional de Fútbol Miami,2 - 1,Chicago Fire
23-08-2024,New York City,2 - 2,Chicago Fire
31-08-2024,Chicago Fire,1 - 4,Club Internacional de Fútbol Miami
07-09-2024,Chicago Fire,1 - 2,DC United
14-09-2024,Chicago Fire,2 - 1,New York RB
18-09-2024,Nashville SC (MLS),1 - 0,Chicago Fire
20-09-2024,Montreal Impact,2 - 0,Chicago Fire
28-09-2024,Chicago Fire,1 - 1,Toronto
01-10-2024,Charlotte,4 - 3,Chicago Fire
18-10-2024,Chicago Fire,0 - 3,Nashville SC (MLS)
24-02-2024,Cincinnati,0 - 0,Toronto
02-03-2024,Chicago Fire,1 - 2,Cincinnati
09-03-2024,Cincinnati,0 - 0,DC United
16-03-2024,New England,1 - 2,Cincinnati
22-03-2024,Cincinnati,1 - 0,New York City
29-03-2024,Charlotte,1 - 1,Cincinnati
05-04-2024,Cincinnati,1 - 2,New York RB
12-04-2024,Montreal Impact,2 - 1,Cincinnati
19-04-2024,Atlanta United,1 - 2,Cincinnati
26-04-2024,Cincinnati,2 - 1,Colorado Rapids
03-05-2024,Orlando City SC,0 - 1,Cincinnati
10-05-2024,Columbus Crew,1 - 2,Cincinnati
14-05-2024,Cincinnati,1 - 0,Atlanta United
17-05-2024,Cincinnati,3 - 1,Saint Louis City
24-05-2024,Toronto,3 - 4,Cincinnati
28-05-2024,Cincinnati,0 - 2,Nashville SC (MLS)
15-06-2024,SJ Earthquakes,2 - 4,Cincinnati
18-06-2024,Cincinnati,4 - 3,Philadelphia Union
21-06-2024,Cincinnati,1 - 2,New England
29-06-2024,Dallas,0 - 1,Cincinnati
02-07-2024,DC United,2 - 3,Cincinnati
05-07-2024,Cincinnati,6 - 1,Club Internacional de Fútbol Miami
12-07-2024,Cincinnati,1 - 3,Charlotte
16-07-2024,Cincinnati,0 - 1,Chicago Fire
19-07-2024,New York RB,3 - 1,Cincinnati
23-08-2024,Club Internacional de Fútbol Miami,2 - 0,Cincinnati
30-08-2024,Cincinnati,4 - 1,Montreal Impact
13-09-2024,Cincinnati,0 - 0,Columbus Crew
18-09-2024,Minnesota United,1 - 2,Cincinnati
21-09-2024,Nashville SC (MLS),2 - 2,Cincinnati
27-09-2024,Cincinnati,1 - 2,Los Angeles FC
